code,system,title,plain_meaning,common_causes,severity,safe_to_drive
P0010,Powertrain,Camshaft Position Actuator Circuit (Bank 1),The electrical circuit controlling variable valve timing on bank 1 has a fault.,Faulty camshaft actuator solenoid; wiring or connector damage; low or dirty engine oil,medium,yes-with-care
P0011,Powertrain,Camshaft Position Timing Over-Advanced (Bank 1),Valve timing is more advanced than the engine computer expected.,Dirty or low engine oil; stuck oil control valve; worn timing chain,medium,yes-with-care
P0016,Powertrain,Crankshaft/Camshaft Position Correlation (Bank 1 Sensor A),The crankshaft and camshaft are out of step with each other.,Stretched or jumped timing chain; failed cam or crank sensor; oil control valve stuck,high,no
P0030,Powertrain,HO2S Heater Control Circuit (Bank 1 Sensor 1),The heater inside the front oxygen sensor is not working.,Failed oxygen sensor heater; blown fuse; broken wiring,low,yes
P0071,Powertrain,Ambient Air Temperature Sensor Range/Performance,The outside air temperature reading looks wrong.,Failed ambient temperature sensor; wiring fault; sensor blocked by debris,low,yes
P0087,Powertrain,Fuel Rail/System Pressure Too Low,Fuel pressure is below what the engine needs.,Clogged fuel filter; weak fuel pump; leaking pressure regulator; restricted fuel line,high,no
P0101,Powertrain,Mass Air Flow Circuit Range/Performance,The air flow sensor reading does not match what the engine is actually doing.,Dirty MAF sensor; air filter clogged; vacuum leak; leaking intake boot,medium,yes-with-care
P0102,Powertrain,Mass Air Flow Circuit Low Input,The air flow sensor is reporting less air than is possible.,Disconnected or dirty MAF sensor; wiring short; severely blocked air filter,medium,yes-with-care
P0113,Powertrain,Intake Air Temperature Sensor Circuit High Input,The intake air temperature sensor is reading abnormally high.,Failed IAT sensor; open circuit in wiring; corroded connector,low,yes
P0117,Powertrain,Engine Coolant Temperature Circuit Low Input,The coolant temperature sensor is reading abnormally low.,Failed coolant temperature sensor; short in wiring; bad connector,medium,yes-with-care
P0121,Powertrain,Throttle Position Sensor Range/Performance,The throttle position reading does not match engine behaviour.,Dirty throttle body; failing throttle position sensor; damaged wiring,medium,yes-with-care
P0128,Powertrain,Coolant Thermostat Below Regulating Temperature,The engine is not warming up as fast as it should.,Thermostat stuck open; failed coolant temperature sensor; low coolant level,low,yes
P0131,Powertrain,O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1),The front oxygen sensor voltage is stuck low.,Failed oxygen sensor; exhaust leak before the sensor; wiring fault,medium,yes-with-care
P0133,Powertrain,O2 Sensor Circuit Slow Response (Bank 1 Sensor 1),The front oxygen sensor is reacting too slowly.,Aged oxygen sensor; contamination from oil or coolant burning; exhaust leak,medium,yes-with-care
P0135,Powertrain,O2 Sensor Heater Circuit (Bank 1 Sensor 1),The heater in the front oxygen sensor has failed.,Failed sensor heater element; blown fuse; damaged wiring harness,low,yes
P0136,Powertrain,O2 Sensor Circuit Malfunction (Bank 1 Sensor 2),The rear oxygen sensor signal is faulty.,Failed rear oxygen sensor; exhaust leak near sensor; corroded connector,medium,yes-with-care
P0171,Powertrain,System Too Lean (Bank 1),The engine is getting too much air or not enough fuel.,Vacuum leak; dirty MAF sensor; weak fuel pump; clogged fuel filter; leaking intake gasket,medium,yes-with-care
